job_history_id,employee_id,start_date,end_date,all_jobs_id
1,4655,2016-10-23,2017-11-05,29
2,8096,2018-02-07,2018-11-18,7
3,5432,2016-06-19,2017-01-19,48
4,3164,2015-09-08,2016-01-22,14
5,7307,2015-08-29,2017-01-06,37
6,3731,2020-08-28,2021-11-11,5
7,3493,2017-10-27,2018-07-06,42
8,8112,2021-10-25,2022-08-17,22
9,1042,2021-09-14,2022-07-27,40
10,1553,2020-03-28,2021-01-16,30
11,5911,2019-11-04,2020-03-08,41
12,2335,2015-08-11,2015-11-29,8
13,335,2019-05-21,2019-11-24,3
14,8171,2016-06-01,2017-04-14,34
15,5042,2021-12-29,2023-02-14,43
16,9226,2020-06-15,2021-06-17,23
17,7604,2022-03-20,2023-07-26,4
18,82,2016-12-13,2017-05-23,23
19,2052,2016-07-27,2017-02-28,21
20,8401,2020-02-16,2020-06-22,42
21,6911,2020-01-01,2020-05-28,13
22,46,2017-11-28,2018-06-26,22
23,8126,2020-09-10,2021-10-21,25
24,3412,2021-09-27,2023-01-13,11
25,9115,2017-08-29,2018-10-27,30
26,9430,2021-11-18,2022-05-22,44
27,8159,2018-11-14,2020-02-02,19
28,6305,2021-04-04,2021-10-16,50
29,2933,2017-01-23,2018-01-21,26
30,7795,2021-11-06,2022-05-24,21
31,1456,2017-03-06,2018-07-01,5
32,5701,2016-04-28,2017-07-14,11
33,4263,2017-03-24,2017-10-15,49
34,8832,2018-09-23,2019-03-10,32
35,431,2015-07-19,2016-04-10,29
36,7309,2020-11-13,2021-05-30,39
37,1590,2016-01-09,2017-03-17,20
38,4912,2021-04-02,2022-06-10,17
39,9974,2020-01-11,2021-05-25,18
40,1885,2018-10-02,2020-01-06,38
41,9249,2020-09-19,2021-11-30,25
42,4427,2015-08-01,2016-10-21,21
43,9416,2021-01-30,2022-06-04,49
44,6298,2022-04-09,2023-06-07,12
45,4305,2019-01-27,2019-08-18,43
46,9059,2020-03-27,2020-07-08,18
47,9416,2015-11-21,2016-05-11,46
48,8080,2019-11-29,2021-02-11,29
49,1220,2019-04-24,2020-03-19,23
50,3745,2017-04-01,2018-05-31,43
51,6784,2017-09-29,2018-06-25,34
52,91,2017-09-13,2018-08-06,42
53,964,2019-05-10,2020-07-28,21
54,1800,2017-01-26,2017-07-24,35
