location_id,city,state,country,region
1,North Paulmouth,Illinois,Faroe Islands,AMER
2,Kaylaside,Nevada,Croatia,APAC
3,Vaughanport,Arkansas,Saint Lucia,APAC
4,Port Loristad,Maine,Papua New Guinea,AMER
5,Collinsfort,Oregon,Jordan,EMEA
6,Shellyview,Maine,British Indian Ocean Territory (Chagos Archipelago),APAC
7,Lindseybury,Nevada,Nigeria,APAC
8,Jacksonton,Hawaii,Myanmar,APAC
9,East Reginaborough,Illinois,Macao,AMER
10,Pricebury,North Carolina,Nepal,APAC
11,Williamsonborough,Arizona,Bosnia and Herzegovina,AMER
12,Nicoleport,Connecticut,Argentina,AMER
13,Freemantown,Connecticut,Slovenia,AMER
14,Tonyafurt,Alabama,Switzerland,APAC
15,Phillipshire,Utah,Lesotho,AMER
16,West Todd,Alaska,Saint Vincent and the Grenadines,EMEA
17,Harrisview,Oklahoma,Antarctica (the territory South of 60 deg S),APAC
18,West Richardfort,Michigan,Saint Helena,APAC
19,Port Samanthafurt,Montana,Fiji,APAC
20,Lindaburgh,Utah,Montserrat,APAC
