salary_id,employee_id,salary,start_date,end_date
1,5385,50635.47,2017-09-05,2018-03-30
2,1999,55545.71,2018-10-02,2020-05-07
3,1738,43457.65,2018-10-03,2020-02-26
4,1329,80688.46,2017-12-06,2019-09-18
5,7862,69559.62,2019-04-04,2021-01-07
6,4413,53118.48,2023-10-09,2024-04-11
7,719,52870.35,2023-02-17,2024-11-21
8,9326,46625.18,2022-10-16,2023-08-24
9,798,52774.4,2024-01-10,2025-04-23
10,910,65093.59,2017-07-27,2018-04-05
11,9868,40090.31,2021-03-29,2022-10-20
12,4181,48204.41,2018-04-19,2019-04-16
13,6536,36128.16,2022-05-07,2023-02-02
14,3412,56367.66,2019-08-08,2020-07-19
15,6593,70594.24,2020-05-30,2021-09-13
16,2526,51420.07,2018-09-27,2019-07-27
17,7084,84705.38,2022-07-17,2023-11-26
18,9888,54747.43,2019-08-19,2020-06-28
19,1575,63195.93,2021-06-25,2023-01-02
20,8022,83697.72,2017-12-28,2019-09-25
21,7806,65968.14,2018-11-25,2020-02-22
22,6932,76606.99,2021-12-26,2022-09-24
23,6034,58875.83,2018-04-29,2019-05-04
24,6980,37224.09,2020-12-10,2021-09-11
25,5600,72204.2,2022-02-19,2023-12-05
26,2541,64000.33,2019-09-29,2021-08-16
27,8597,50988.67,2018-05-09,2019-01-29
28,7166,84896.42,2023-02-18,2023-11-06
29,7826,43173.36,2020-08-11,2021-12-11
30,2094,81284.59,2024-04-13,2025-08-13
31,8571,51251.49,2021-08-05,2023-04-14
32,782,85451.61,2024-04-26,2025-01-09
33,8412,63085.84,2022-11-07,2023-08-24
34,6767,60556.11,2022-07-30,2023-05-02
35,9314,54550.17,2023-10-24,2025-01-05
36,9594,77275.57,2023-01-20,2023-10-10
37,267,75728.39,2022-09-08,2023-07-01
38,7584,78239.74,2020-05-14,2021-05-12
39,6439,39580.98,2022-06-09,2023-01-21
40,4877,67296.46,2020-12-24,2022-05-09
41,7455,69309.57,2018-05-14,2020-02-13
42,4343,88169.58,2017-12-11,2019-05-24
43,3067,45179.81,2018-07-08,2019-08-08
44,9897,82938.87,2023-03-04,2024-05-22
45,1743,64390.68,2020-05-11,2022-01-25
46,96,41417.3,2023-07-07,2025-02-10
47,2814,60308.97,2017-09-25,2019-07-25
48,6638,51654.0,2017-06-14,2019-04-23
49,5911,79255.24,2018-10-09,2020-05-15
50,1436,42431.27,2023-11-10,2024-09-13
51,3127,79878.25,2020-08-22,2021-06-12
52,3084,46507.62,2018-04-18,2018-11-11
53,2379,58968.37,2022-12-15,2024-02-15
54,8825,39735.15,2022-08-29,2023-09-08
55,7593,61069.4,2020-03-24,2021-02-18
56,358,44135.8,2018-11-09,2019-09-04
57,2498,88012.68,2020-08-25,2022-05-22
58,7725,82288.8,2024-03-18,2024-10-04
59,9589,46073.61,2022-10-23,2023-12-25
60,9330,37800.72,2017-10-22,2019-05-26
61,130,69672.54,2017-12-02,2018-09-13
62,7075,81673.89,2017-09-15,2019-05-13
63,9481,37035.95,2019-05-26,2020-09-14
64,6549,63234.56,2019-07-31,2021-06-07
65,7994,74285.97,2017-11-10,2019-01-01
66,8656,58210.25,2019-05-20,2019-12-05
67,5175,49731.69,2020-01-01,2020-09-02
68,6835,41431.74,2018-07-15,2020-05-09
69,5682,73363.29,2018-01-25,2019-10-26
70,341,50840.59,2019-09-17,2020-08-27
71,3150,53911.61,2019-12-04,2021-09-24
72,3803,47083.63,2020-07-31,2022-06-30
73,5557,42213.72,2021-05-10,2023-02-28
74,4807,87789.19,2020-04-26,2021-11-26
75,5903,78986.53,2017-06-04,2019-03-29
76,2655,50535.15,2023-04-02,2024-04-28
77,1413,42100.31,2023-08-25,2025-06-29
78,3269,68316.2,2019-06-17,2020-05-22
79,1654,86868.01,2022-05-12,2024-01-07
80,8090,47909.54,2021-06-17,2022-10-20
81,9124,89959.37,2019-06-19,2020-02-02
82,5879,54637.41,2021-04-01,2022-06-22
83,2599,80537.18,2020-06-16,2021-06-09
84,8249,79374.85,2022-07-14,2023-02-11
85,5534,41268.31,2021-12-26,2023-09-07
86,3715,65908.98,2019-05-20,2020-03-18
87,7969,89651.46,2017-09-01,2018-11-19
88,5821,77355.22,2018-12-18,2019-08-02
89,9127,84297.47,2018-01-31,2019-04-29
90,8445,73852.27,2022-10-27,2023-08-09
91,7174,87945.59,2023-11-05,2025-08-14
92,1818,77990.88,2018-01-01,2018-10-16
93,9989,80298.56,2021-05-14,2022-02-22
94,688,40797.61,2022-04-25,2024-03-24
95,1935,85104.22,2021-06-05,2022-06-30
96,2573,73948.98,2021-02-23,2022-06-17
97,8289,75290.35,2023-03-06,2025-01-24
98,1627,70590.11,2021-11-02,2022-10-05
99,5483,41764.09,2023-11-21,2024-10-07
100,3308,88330.02,2017-06-16,2019-03-07
101,108,80914.74,2023-10-23,2024-12-27
102,7761,50771.71,2018-04-10,2019-09-21
103,2806,49630.86,2022-01-22,2022-10-16
104,6800,69619.22,2020-01-27,2021-07-29
105,4022,76426.34,2023-06-08,2024-05-08
106,8678,78296.87,2020-01-23,2021-09-25
107,2261,57737.52,2023-04-30,2025-01-08
108,6707,87351.23,2022-09-13,2024-06-23
109,8457,86905.71,2020-08-11,2022-02-12
110,7252,77358.35,2020-11-27,2021-10-22
111,8477,39662.8,2018-04-16,2018-12-23
112,5158,89006.97,2022-02-01,2023-09-15
113,2693,38380.76,2019-04-10,2020-12-24
114,608,84638.11,2017-11-05,2018-10-05
115,948,88496.36,2021-08-05,2023-07-18
116,6870,83718.06,2023-06-19,2025-01-30
117,9071,74685.31,2021-03-18,2022-07-22
118,5140,35434.62,2018-11-17,2020-05-02
119,4584,68572.06,2017-05-21,2019-05-11
120,2407,59540.4,2019-02-05,2020-09-20
121,3361,73360.9,2019-09-21,2021-06-14
122,6628,83453.61,2022-04-24,2023-05-11
123,1381,64558.84,2023-07-13,2024-02-15
124,6390,63625.83,2017-09-25,2018-07-31
125,8861,46755.4,2023-06-02,2024-09-14
126,8384,63673.47,2017-09-01,2019-01-13
127,2622,36534.02,2023-10-02,2024-04-22
128,8847,48273.69,2024-03-17,2025-06-04
129,4980,89282.51,2021-12-02,2023-08-06
130,1810,81287.09,2017-09-04,2018-05-03
131,4256,54496.03,2018-02-09,2020-01-09
132,783,59680.53,2019-01-01,2019-11-04
133,9379,59923.09,2018-05-30,2018-12-01
134,3869,54268.54,2018-06-10,2019-08-03
135,4662,74289.3,2020-10-13,2021-09-01
136,8515,40787.48,2018-10-30,2020-01-06
137,8462,80256.35,2021-12-28,2023-01-09
138,5920,40389.33,2022-08-02,2024-05-08
139,6975,39507.09,2021-02-01,2022-09-25
140,1019,83868.01,2018-04-07,2019-12-13
141,7803,59539.02,2018-04-21,2019-05-25
142,6051,57151.45,2022-05-03,2024-04-20
143,9159,77835.36,2018-01-03,2019-12-15
144,4321,70005.36,2019-05-18,2021-04-07
145,7211,75244.43,2023-05-24,2025-04-04
146,6831,42939.04,2021-11-07,2022-10-19
147,2083,74113.28,2017-04-30,2019-03-07
148,2120,82479.94,2018-03-05,2020-02-08
149,1935,60048.78,2017-09-03,2018-10-05
150,535,86923.83,2020-04-24,2021-03-30
151,6052,68088.01,2019-10-30,2020-08-26
152,6695,41647.65,2020-03-24,2021-01-10
153,9368,37215.52,2023-05-29,2024-09-16
154,2512,55430.7,2022-09-19,2023-07-16
155,6136,51168.97,2017-09-23,2019-01-26
156,459,42817.69,2020-02-02,2020-12-24
157,9661,37675.81,2020-05-06,2022-01-07
158,5000,46856.98,2022-10-30,2024-02-12
159,8009,41728.03,2023-03-30,2023-09-28
160,5713,82873.46,2017-07-04,2018-03-10
161,6842,66518.25,2017-08-31,2019-07-04
162,9270,84515.8,2021-03-16,2022-12-19
163,6182,80895.3,2019-06-24,2021-04-20
164,9924,76907.32,2023-01-18,2023-11-29
165,8271,76892.33,2018-09-27,2020-07-09
166,7358,82649.01,2020-09-07,2021-08-05
167,5329,78989.64,2017-05-06,2018-02-01
168,6712,47805.23,2018-08-24,2020-03-22
169,6479,64754.69,2021-04-04,2022-09-13
170,7260,70525.41,2023-09-30,2025-01-06
171,2714,66459.71,2023-02-10,2023-09-03
172,5061,70415.28,2021-12-11,2022-10-13
173,1396,87534.26,2019-11-29,2020-12-10
174,8878,87651.1,2019-05-14,2020-01-03
175,8549,76280.72,2024-01-08,2025-01-15
176,8236,41615.57,2022-10-31,2023-05-18
177,8714,87930.72,2020-04-12,2021-04-11
178,4505,48490.77,2020-11-16,2021-12-11
179,9496,39655.64,2022-11-17,2024-08-12
180,8742,57098.88,2020-08-16,2022-01-06
181,738,82408.59,2019-01-03,2020-11-16
182,382,59035.96,2022-04-26,2023-10-06
183,6799,82280.66,2018-05-06,2018-11-26
184,5200,49144.78,2022-04-16,2023-11-08
185,1879,64797.86,2023-08-31,2024-06-07
186,4676,45046.79,2017-05-05,2018-03-28
187,1469,51873.68,2023-01-13,2023-12-16
188,6673,38240.26,2018-11-12,2019-10-31
189,5330,36494.42,2019-04-03,2020-04-02
190,959,56446.68,2023-07-16,2024-11-12
191,5244,57705.25,2017-10-06,2018-08-27
192,5312,55653.22,2017-11-13,2019-01-31
193,1982,46140.77,2018-07-02,2019-02-20
194,9782,62113.87,2020-08-18,2021-10-14
195,8265,87214.64,2020-10-18,2022-05-15
196,4413,52508.5,2017-10-02,2018-06-01
197,9063,38600.2,2023-07-24,2025-03-11
198,474,69844.77,2021-05-11,2022-12-29
199,306,65474.14,2018-01-24,2019-04-24
200,9604,48547.39,2018-01-03,2018-10-13
201,9089,51753.71,2018-01-11,2018-11-15
202,6665,39614.96,2017-12-15,2019-09-12
203,8200,78058.49,2020-11-21,2021-12-14
204,2333,64724.19,2019-05-26,2020-12-08
205,2756,64564.46,2017-08-25,2018-10-30
206,6943,37298.56,2024-01-09,2025-10-12
207,7613,70918.24,2020-06-13,2021-10-02
208,2743,38309.63,2018-05-25,2018-11-21
209,7901,67882.73,2020-01-19,2021-04-22
210,6229,81334.13,2019-12-30,2021-06-21
211,3486,50472.12,2023-12-02,2025-11-03
212,2645,51535.11,2020-05-10,2021-01-16
213,6477,80677.4,2022-06-07,2023-04-08
214,9118,83305.36,2021-11-14,2023-02-23
215,3455,87657.94,2022-04-12,2024-03-08
216,5216,69934.34,2023-09-02,2025-02-13
217,7418,48526.06,2024-01-28,2025-05-01
218,5270,46584.31,2023-11-18,2025-04-30
219,9823,35873.1,2020-05-05,2021-10-03
220,2191,68483.27,2022-05-14,2022-11-12
221,71,71998.85,2021-04-28,2021-11-03
222,6770,76935.59,2023-02-02,2024-12-13
223,8817,78301.79,2017-05-07,2018-01-25
224,1271,84091.47,2017-05-12,2017-12-09
225,7294,54414.71,2021-07-29,2022-05-31
226,6167,56271.31,2020-11-10,2022-05-10
227,139,60448.09,2019-11-02,2020-09-04
228,3162,35514.98,2020-02-25,2021-11-21
229,325,72430.49,2017-05-27,2018-09-06
230,5863,39948.16,2018-06-06,2019-06-17
231,4968,47884.19,2022-08-06,2023-09-16
232,8091,37023.78,2019-01-19,2020-07-23
233,8075,35392.45,2022-11-28,2023-12-27
234,6490,82845.39,2023-12-10,2024-09-28
235,9325,62170.62,2018-07-03,2020-05-25
236,9041,71291.11,2021-08-03,2022-08-16
237,9269,38594.83,2019-12-03,2020-11-26
238,2102,42008.7,2020-02-07,2020-10-10
239,9338,83455.17,2017-05-04,2018-06-21
240,4495,81621.69,2022-10-22,2023-11-02
241,379,72437.42,2022-03-06,2023-05-18
242,7438,86583.97,2018-08-07,2019-02-05
243,850,58790.15,2018-03-25,2019-08-17
244,6667,41694.47,2019-10-18,2021-01-20
245,8492,62256.61,2018-11-18,2020-09-05
246,8475,83609.13,2022-09-23,2023-05-05
247,3679,50286.32,2019-09-01,2020-04-16
248,6883,52393.31,2023-03-22,2024-12-20
249,6421,53408.82,2022-12-14,2023-12-28
250,9369,89464.56,2017-10-26,2018-05-19
251,3697,87677.66,2018-07-01,2020-03-05
252,4096,44046.49,2020-10-09,2021-10-25
